date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:13	67/67	---M--	200	added ('OK')	text/plain	date:Fri,%2026%20Feb%202016%2003:03:43%20GMT	http://sutrixgroup.com/robots.txt		(from )
10:03:13	75142/75142	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2003:03:43%20GMT	http://sutrixgroup.com/	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/index.html	(from )
10:03:13	6139/6139	---M-Z	200	added ('OK')	text/css	etag:%2217fb-529acf99785ef-gzip%22	http://sutrixgroup.com/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selector.css?v=3.3.5	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/plugins/sitepress-multilingual-cms/res/css/language-selectorb16a.css	(from http://sutrixgroup.com/)
10:03:14	344/344	---M-Z	200	added ('OK')	text/css	etag:%22158-529acf998222f-gzip%22	http://sutrixgroup.com/wp-content/plugins/wpml-cms-nav/res/css/navigation.css?ver=1.4.15	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/plugins/wpml-cms-nav/res/css/navigation0a9c.css	(from http://sutrixgroup.com/)
10:03:14	1662/1662	---M-Z	200	added ('OK')	application/rss+xml	etag:%226b16e30df81c75a8ac445accbc4c92c3-gzip%22	http://sutrixgroup.com/feed/	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/feed/index.html	(from http://sutrixgroup.com/)
10:03:14	3004/3004	---M-Z	200	added ('OK')	text/css	etag:%22bbc-529acf998222f-gzip%22	http://sutrixgroup.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation-base.css?ver=1.4.15	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation-base0a9c.css	(from http://sutrixgroup.com/)
10:03:15	1472/1472	---M-Z	200	added ('OK')	application/rss+xml	etag:%22912e12d287e8940149a62fd4178506d5-gzip%22	http://sutrixgroup.com/comments/feed/	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/comments/feed/index.html	(from http://sutrixgroup.com/)
10:03:15	2374/2374	---M-Z	200	added ('OK')	text/css	etag:%22946-529acf998222f-gzip%22	http://sutrixgroup.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation.css?ver=1.4.15	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/plugins/wpml-cms-nav/res/css/cms-navigation0a9c.css	(from http://sutrixgroup.com/)
10:03:15	571/571	---M-Z	200	added ('OK')	text/css	etag:%2223b-529acf998ed4f-gzip%22	http://sutrixgroup.com/wp-content/themes/sutrix_group/style.css?ver=4.4	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/themes/sutrix_group/styleeb11.css	(from http://sutrixgroup.com/)
10:03:16	824/824	---M-Z	200	added ('OK')	text/xml	date:Fri,%2026%20Feb%202016%2003:03:46%20GMT	http://sutrixgroup.com/xmlrpc.php?rsd	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/xmlrpc0db0.php	(from http://sutrixgroup.com/)
10:03:16	973/973	---M--	200	added ('OK')	application/json	date:Fri,%2026%20Feb%202016%2003:03:46%20GMT	http://sutrixgroup.com/wp-json/	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-json/index.html	(from http://sutrixgroup.com/)
10:03:16	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-529acf99a25cf-gzip%22	http://sutrixgroup.com/wp-includes/wlwmanifest.xml	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-includes/wlwmanifest.xml	(from http://sutrixgroup.com/)
10:03:16	73/73	---M--	404	error ('Not%20Found')	application/json	date:Fri,%2026%20Feb%202016%2003:03:47%20GMT	http://sutrixgroup.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsutrixgroup.com%2F	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-json/oembed/1.0/embedf717	(from http://sutrixgroup.com/)
10:03:17	132/132	---M--	404	error ('Not%20Found')	text/xml	date:Fri,%2026%20Feb%202016%2003:03:47%20GMT	http://sutrixgroup.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fsutrixgroup.com%2F&format=xml	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-json/oembed/1.0/embed10ac	(from http://sutrixgroup.com/)
10:03:18	1508/1508	---M--	200	added ('OK')	image/png	etag:%225e4-52936c5611500%22	http://stg.sutrixgroup.com/wp-content/uploads/2016/01/favicon-16x16.png	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/stg.sutrixgroup.com/wp-content/uploads/2016/01/favicon-16x16.png	(from http://sutrixgroup.com/)
10:03:18	77565/77565	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2003:03:48%20GMT	http://sutrixgroup.com/ja/	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/ja/index.html	(from http://sutrixgroup.com/)
10:03:18	76478/76478	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2003:03:48%20GMT	http://sutrixgroup.com/fr/	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/fr/index.html	(from http://sutrixgroup.com/)
10:03:18	5842/5842	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2003:02:51%20GMT	http://gmpg.org/xfn/11	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/gmpg.org/xfn/11.html	(from http://sutrixgroup.com/)
10:03:19	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2026%20Feb%202016%2003:03:49%20GMT	http://sutrixgroup.com/xmlrpc.php	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/xmlrpc.php	(from http://sutrixgroup.com/)
10:03:19	13763/13763	---M-Z	200	added ('OK')	text/css	etag:%2235c3-529acf9989f2f-gzip%22	http://sutrixgroup.com/wp-content/themes/sutrix_group/css/libs.css	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/themes/sutrix_group/css/libs.css	(from http://sutrixgroup.com/)
10:03:19	76223/76223	---M-Z	200	added ('OK')	text/css	etag:%22129bf-52aac40f4fb23-gzip%22	http://sutrixgroup.com/wp-content/themes/sutrix_group/css/style.css	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/themes/sutrix_group/css/style.css	(from http://sutrixgroup.com/)
10:03:20	1378/1378	---M-Z	200	added ('OK')	text/css	etag:%22562-529acf9989f2f-gzip%22	http://sutrixgroup.com/wp-content/themes/sutrix_group/css/print.css	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/themes/sutrix_group/css/print.css	(from http://sutrixgroup.com/)
10:03:20	1945/1945	---M--	200	added ('OK')	image/png	etag:%22799-529109b1ae580%22	http://sutrixgroup.com/wp-content/uploads/2016/01/logo.png	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/logo.png	(from http://sutrixgroup.com/)
10:03:20	46611/46611	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2003:03:51%20GMT	http://sutrixgroup.com/consulting.html	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/consulting.html	(from http://sutrixgroup.com/)
10:03:21	84258/84258	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2003:03:51%20GMT	http://sutrixgroup.com/solutions.html	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/solutions.html	(from http://sutrixgroup.com/)
10:03:41	126588/126588	---M--	200	added ('OK')	image/jpeg	etag:%221ee7c-5293a3c4bdd00%22	http://sutrixgroup.com/wp-content/uploads/2016/01/slider-2.jpg	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/slider-2.jpg	(from http://sutrixgroup.com/)
10:03:41	116849/116849	---M--	200	added ('OK')	image/jpeg	etag:%221c871-5293a3c88e600%22	http://sutrixgroup.com/wp-content/uploads/2016/01/slider-3.jpg	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/slider-3.jpg	(from http://sutrixgroup.com/)
10:03:42	131352/131352	---M--	200	added ('OK')	image/jpeg	etag:%2220118-5293a3c88e600%22	http://sutrixgroup.com/wp-content/uploads/2016/01/slider-4.jpg	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/slider-4.jpg	(from http://sutrixgroup.com/)
10:03:43	3593/3593	---M--	200	added ('OK')	image/png	etag:%22e09-529108d285700%22	http://sutrixgroup.com/wp-content/uploads/2016/01/photo_partner_01.png	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/photo_partner_01.png	(from http://sutrixgroup.com/)
10:03:44	2666/2666	---M--	200	added ('OK')	image/png	etag:%22a6a-529108d285700%22	http://sutrixgroup.com/wp-content/uploads/2016/01/photo_partner_02.png	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/photo_partner_02.png	(from http://sutrixgroup.com/)
10:03:44	5961/5961	---M--	200	added ('OK')	image/png	etag:%221749-529108d46db80%22	http://sutrixgroup.com/wp-content/uploads/2016/01/photo_partner_03.png	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/photo_partner_03.png	(from http://sutrixgroup.com/)
10:03:44	17498/17498	---M--	200	added ('OK')	image/png	etag:%22445a-529109a824f00%22	http://sutrixgroup.com/wp-content/uploads/2016/01/img-map.png	/home/local/SUTRIXMEDIA1/trieu.dinh/websites/Sutrix/sutrixgroup.com/wp-content/uploads/2016/01/img-map.png	(from http://sutrixgroup.com/)
